Date,Year,Nest,Site,Camera  Status,Fate,Nest Status,LDLD,Nest Stage,Cause,Cause2,notes/nature of failure
4/25/2018,2018,009,9,1,,0,10,Incubation,Success,Success,
4/26/2018,2018,009,9,1,,0,10,Incubation,Success,Success,
4/27/2018,2018,009,9,1,,0,10,Incubation,Success,Success,
4/28/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
4/29/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
4/30/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/1/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/2/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/3/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/4/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/5/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/6/2018,2018,009,9,1,,0,10,Nestling,Success,Success,
5/7/2018,2018,009,9,1,fledged,0,10,Nestling,Success,Success,
4/19/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/20/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/21/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/22/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/23/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/24/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/25/2018,2018,017,17,1,,0,10,Incubation,Success,Success,
4/26/2018,2018,017,17,1,,0,10,Incubation,Success,Success,video ends at 4pm
4/27/2018,2018,017,17,0,,0,0,Incubation,Success,Success,
4/28/2018,2018,017,17,0,,0,0,Nestling,Success,Success,
4/29/2018,2018,017,17,1,,0,10,Nestling,Success,Success,video resumes at 1am
4/30/2018,2018,017,17,1,,0,10,Nestling,Success,Success,
5/1/2018,2018,017,17,1,,0,10,Nestling,Success,Success,
5/2/2018,2018,017,17,1,,0,10,Nestling,Success,Success,
5/3/2018,2018,017,17,1,,0,10,Nestling,Success,Success,night time footage black
5/4/2018,2018,017,17,1,,0,10,Nestling,Success,Success,night time footage black
5/5/2018,2018,017,17,1,,0,10,Nestling,Success,Success,night time footage black
5/6/2018,2018,017,17,1,,0,10,Nestling,Success,Success,night time footage black
5/7/2018,2018,017,17,1,fledged,0,10,Nestling,Success,Success,night time footage black
5/9/2018,2018,018,18,1,,0,10,Incubation,Unknown,Other,
5/10/2018,2018,018,18,1,,0,10,Incubation,Unknown,Other,
5/11/2018,2018,018,18,1,,0,10,Incubation,Unknown,Other,cuts at 8am
5/12/2018,2018,018,18,0,,0,0,Incubation,Unknown,Other,
5/13/2018,2018,018,18,1,,0,10,Nestling,Unknown,Other,returns at 4pm
5/14/2018,2018,018,18,1,failed,1,11,Nestling,Unknown,Other,reason unknown
4/25/2018,2018,025,25,1,,0,10,Incubation,Raven,Native,
4/26/2018,2018,025,25,1,,0,10,Incubation,Raven,Native,
4/27/2018,2018,025,25,1,,0,10,Incubation,Raven,Native,
4/28/2018,2018,025,25,1,,0,10,Incubation,Raven,Native,
4/29/2018,2018,025,25,1,,0,10,Nestling,Raven,Native,
4/30/2018,2018,025,25,1,,0,10,Nestling,Raven,Native,night time footage black
5/1/2018,2018,025,25,1,predated,1,11,Nestling,Raven,Native,corvid; night time footage black
5/3/2018,2018,045,45,1,,0,10,Incubation,Success,Success,
5/4/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/5/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/6/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/7/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/8/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/9/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/10/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/11/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/12/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/13/2018,2018,045,45,1,,0,10,Nestling,Success,Success,
5/14/2018,2018,045,45,1,fledged,0,10,Nestling,Success,Success,
5/16/2018,2018,047,47,1,,0,10,Incubation,Success,Success,
5/17/2018,2018,047,47,1,,0,10,Incubation,Success,Success,
5/18/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/19/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/20/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/21/2018,2018,047,47,1,,0,10,Nestling,Success,Success,night time footage black
5/22/2018,2018,047,47,1,,0,10,Nestling,Success,Success,night time footage black
5/23/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/24/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/25/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/26/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/27/2018,2018,047,47,1,,0,10,Nestling,Success,Success,
5/28/2018,2018,047,47,1,,0,10,Nestling,Success,Success,cuts at 4pm
5/29/2018,2018,047,47,1,fledged,0,0,Nestling,Success,Success,
2/23/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
2/24/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
2/25/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
2/26/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
2/27/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
2/28/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
3/1/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
3/2/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
3/3/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
3/4/2017,2017,003,3,1,,0,10,Incubation,Success,Success,
3/5/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/6/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/7/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/8/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/9/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/10/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/11/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/12/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/13/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/14/2017,2017,003,3,1,,0,10,Nestling,Success,Success,
3/15/2017,2017,003,3,1,fledged,0,10,Nestling,Success,Success,
3/13/2017,2017,012,12,1,,0,10,Incubation,Success,Success,
3/14/2017,2017,012,12,1,,0,10,Incubation,Success,Success,
3/15/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/16/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/17/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/18/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/19/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/20/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/21/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/22/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/23/2017,2017,012,12,1,cuts at 8am,0,10,Nestling,Success,Success,
3/24/2017,2017,012,12,0,,0,0,Nestling,Success,Success,
