Nest ID,Year,Egg Laying Date,Incubation Date,Number of Eggs,Comments
1C-1,2012,4/12/2012,4/14/2012,3,
2D-1,2012,4/17/2012,4/19/2012,3,
2L-1,2012,4/16/2012,4/18/2012,3,
2R-1,2012,5/26/2012,5/28/2012,3,
3B-2,2012,5/21/2012,5/23/2012,3,
3N-2,2012,5/12/2012,5/14/2012,3,
4D-2,2012,5/3/2012,5/5/2012,3,
5aJ-1,2012,4/10/2012,4/12/2012,3,
5bF-2,2012,5/2/2012,5/4/2012,3,
5bT-1,2012,5/8/2012,5/10/2012,3,
5bV-1,2012,5/6/2012,5/8/2012,3,
010,2013,4/22/2013,4/25/2013,4,
011,2013,4/30/2013,5/2/2013,3,
107,2013,4/20/2013,4/22/2013,3,
110,2013,5/9/2013,5/11/2013,3,
201,2013,3/14/2013,3/15/2013,3,
202,2013,4/9/2013,4/11/2013,3,
204,2013,4/29/2013,5/1/2013,3,
309,2013,3/29/2013,3/31/2013,3,
402,2013,3/15/2013,3/17/2013,3,
403,2013,5/12/2013,5/14/2013,3,
405,2013,5/16/2013,NA,2,Found with eggs on 5/15/2013 and depredated on 5/20/2013 with eggs.
504,2013,3/18/2013,3/20/2013,3,
509,2013,3/13/2013,3/15/2013,3,
510,2013,3/16/2013,3/18/2013,3,
515,2013,5/1/2013,5/5/2013,3,
516,2013,5/1/2013,5/3/2013,3,
518,2013,4/26/2013,4/28/2013,3,
519,2013,4/30/2013,5/2/2013,3,
521,2013,5/3/2013,5/5/2013,3,
114,2014,4/7/2014,4/10/2014,3,
117,2014,4/16/2014,4/18/2014,3,
118,2014,4/20/2014,4/22/2014,3,
207,2014,3/16/2014,3/18/2014,3,
227,2014,4/8/2014,4/10/2014,3,
230,2014,4/15/2014,4/16/2014,2,
303,2014,3/27/2014,3/29/2014,3,
304,2014,3/23/2014,3/25/2014,3,
307,2014,4/5/2014,4/8/2014,3,
403,2014,4/1/2014,4/3/2014,3,
407,2014,4/19/2014,4/21/2014,3,
501,2014,4/11/2014,NA,4,Found on 4/10/2014 with 4 eggs and predated on 4/12/2014 with 4 eggs
001,2015,2/17/2015,2/19/2015,3,
002,2015,3/1/2015,3/3/2015,2,
004,2015,2/15/2015,2/17/2015,3,
005,2015,3/7/2015,3/8/2015,2,
006,2015,2/28/2015,3/1/2015,2,
008,2015,2/19/2015,2/21/2015,3,
024,2015,3/21/2015,3/23/2015,3,
029,2015,3/13/2015,3/15/2015,3,
032,2015,4/2/2015,4/4/2015,,
113,2015,3/28/2015,3/30/2015,3,
200,2015,2/24/2015,2/26/2015,3,
201,2015,3/10/2015,3/12/2015,3,
301,2015,3/17/2015,3/19/2015,3,
401,2015,3/1/2015,3/3/2015,3,
403,2015,3/7/2015,3/9/2015,3,
404,2015,3/21/2015,3/23/2015,3,
510,2015,3/26/2015,3/28/2015,3,
008,2016,2/14/2016,2/16/2016,3,
014,2016,3/10/2016,3/12/2016,3,
019,2016,2/27/2016,3/1/2016,4,Found in nestling stage. So this was an estimate
020,2016,3/17/2016,3/20/2016,4,
030,2016,3/19/2016,3/21/2016,3,
034,2016,4/17/2016,4/20/2016,4,
040,2016,5/15/2016,5/17/2016,3,
043,2016,5/19/2016,5/21/2016,3,
046,2016,5/23/2016,5/26/2016,4,
104,2016,4/25/2016,4/28/2016,4,
201,2016,3/5/2016,3/7/2016,3,
202,2016,3/16/2016,,1,Found in eggs and abandoned with eggs
205,2016,3/21/2016,3/23/2016,2,
303,2016,3/18/2016,3/21/2016,4,
414,2016,4/21/2016,4/25/2016,5,
505,2016,3/3/2016,,3,Found in eggs and a mouse eats the eggs
508,2016,2/27/2016,2/29/2016,3,
003,2017,2/16/2017,2/19/2017,3,
012,2017,2/27/2017,3/1/2017,3,
051,2017,4/9/2017,4/11/2017,3,
068,2017,4/28/2017,5/2/2017,4,
078,2017,5/14/2017,5/17/2017,4,
106,2017,3/21/2017,3/23/2017,3,
115,2017,3/23/2017,3/26/2017,3,
140,2017,5/10/2017,5/12/2017,3,
147,2017,5/23/2017,5/25/2017,3,
203,2017,4/6/2017,4/9/2017,4,
405,2017,5/4/2017,5/5/2017,2,
502,2017,4/4/2017,4/9/2017,4,
601,2017,5/8/2017,5/11/2017,4,
009,2018,4/13/2018,4/15/2018,3,
017,2018,4/12/2018,4/16/2018,3,
018,2018,4/30/2018,5/1/2018,2,
025,2018,4/15/2018,4/17/2018,3,
045,2018,4/21/2018,4/22/2018,2,
047,2018,5/4/2018,5/6/2018,3,
005,2019,2/9/2019,2/12/2019,3,
012,2019,2/16/2019,2/18/2019,3,
022,2019,3/9/2019,,4,found with 4 eggs and depredated with 4 eggs.
029,2019,3/13/2019,3/17/2019,5,
036,2019,3/21/2019,3/24/2019,4,
043,2019,4/4/2019,4/7/2019,4,
048,2019,5/4/2019,,3,found with 3 eggs and depredated with 3 eggs
063,2019,6/8/2019,6/11/2019,4,
211,2019,4/25/2019,4/29/2019,5,
303,2019,4/27/2019,5/1/2019,4,
410,2019,4/4/2019,4/7/2019,4,
412,2019,4/13/2019,4/17/2019,5,
420,2019,5/18/2019,5/20/2019,3,
421,2019,5/20/2019,5/23/2019,4,
501,2019,2/11/2019,2/13/2019,3,
